Test Case,Role,Method,Endpoint,Expected Code,Actual Code,Result,Full Response,Timestamp
Get Item 3,User,GET,/orders/5,200,200,PASS,"{""id"": 5, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""pending"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.485Z"", ""updatedAt"": ""2026-01-26T12:42:25.485Z"", ""deletedAt"": null, ""orderItems"": [{""id"": 7, ""orderId"": 5, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""pending"", ""createdAt"": ""2026-01-26T12:42:25.486Z"", ""updatedAt"": ""2026-01-26T12:42:25.486Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Deliver Unpaid,User,PUT,/orders/items/7/status,"[400, 500]",400,PASS,"{""message"": ""Cannot mark delivered. Order is not paid (Online Pending).""}",2026-01-26 18:12:25
Review Valid,User,POST,/review,201,201,PASS,"{""message"": ""Review added"", ""review"": {""id"": 1, ""userId"": 5, ""productId"": 4, ""rating"": 5, ""comment"": ""A"", ""updatedAt"": ""2026-01-26T12:42:25.496Z"", ""createdAt"": ""2026-01-26T12:42:25.496Z""}}",2026-01-26 18:12:25
Review Dup,User,POST,/review,409,409,PASS,"{""message"": ""Review already exists""}",2026-01-26 18:12:25
Review Bad Rate,User,PUT,/review,"[400, 500]",400,PASS,"{""message"": ""Rating must be between 1 and 5""}",2026-01-26 18:12:25
Review Neg Rate,User,PUT,/review,"[400, 500]",400,PASS,"{""message"": ""Rating must be between 1 and 5""}",2026-01-26 18:12:25
Review Update,User,PUT,/review,200,200,PASS,"{""message"": ""Review updated"", ""review"": {""id"": 1, ""userId"": 5, ""productId"": 4, ""rating"": 2, ""comment"": ""Bad"", ""createdAt"": ""2026-01-26T12:42:25.496Z"", ""updatedAt"": ""2026-01-26T12:42:25.505Z""}}",2026-01-26 18:12:25
Get Rating,User,GET,/review/4,200,200,PASS,"{""rating"": 2, ""ratingCount"": 1}",2026-01-26 18:12:25
Soft Delete,User,DELETE,/products/4,200,200,PASS,"{""message"": ""Product deleted (softly)""}",2026-01-26 18:12:25
Search Deleted,User,GET,/products?search=Prod_1769431344813308000,"[404, 200]",200,PASS,"{""totalItems"": 1, ""totalPages"": 1, ""currentPage"": 1, ""products"": [{""id"": 5, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Del Again,User,DELETE,/products/4,404,404,PASS,"{""message"": ""Product not found""}",2026-01-26 18:12:25
,,,,,,,,
SUMMARY,,,,,,PASS: 104,FAIL: 0,
